江西频道,#genre#
江西都市,http://php.jdshipin.com:8880/iptv.php?id=jxds
江西经济,http://php.jdshipin.com:8880/iptv.php?id=jxjjsh
江西影视,http://php.jdshipin.com:8880/iptv.php?id=jxysly
江西公共,http://php.jdshipin.com:8880/iptv.php?id=jxggny
江西少儿,http://php.jdshipin.com:8880/iptv.php?id=jxse
江西新闻,http://php.jdshipin.com:8880/iptv.php?id=jxxw
江西教育,http://php.jdshipin.com:8880/iptv.php?id=jxjy
江西移动,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv8.m3u8?source=pc&t=173182923512155&token=21e99e5f17b0e6d5e0284802ad942a03
江西陶瓷,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_taoci.m3u8?source=pc&t=173182960210937&token=c0d58875648d71e4a08fb9bcae65f8bb
江西都市频道,http://59.55.6.45:4022/rtp/239.252.220.109:5140$江西电信
江西都市频道,http://59.55.6.45:4022/rtp/239.252.220.238:5140$江西电信
江西都市频道,http://58.17.48.228:808/hls/18/index.m3u8
江西都市频道,https://stream1.freetv.fun/5b63311f17580c1b7c6ad805ac4f5f35d0be44f32a80f60ac60821f8ff78354d.m3u8
江西都市频道,https://stream1.freetv.fun/6934d54a550b33f2dc6a9b04d3dd33fcbe8654fbc8a50207debe101f4088932d.ctv
江西都市频道,http://61.163.58.195:1718/jiangxi.php?id=jxds
江西经济生活,http://59.55.6.45:4022/rtp/239.252.219.173:5140$江西电信
江西经济生活,http://58.17.48.228:808/hls/19/index.m3u8
江西经济生活,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv3_hd.m3u8?source=pc&t=172991712856315&token=61c9f476b4a47e9f58aea542cc2b0524
江西经济生活,https://stream1.freetv.fun/e3871128dc641012ab09c7280c922169f87cae244d77074ad4d3ffd38e103e95.ctv
江西影视旅游,http://59.55.6.45:4022/rtp/239.252.220.101:5140$江西电信
江西影视旅游,http://58.17.48.228:808/hls/20/index.m3u8
江西影视旅游,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv4.m3u8?source=pc&t=172991718770404&token=a2ecf344079accb21720b41662eb6f8c
江西影视旅游,https://stream1.freetv.fun/48fee250d903cd9179b8d0cb88e717ad08b74b0bf4e804ef0c8b61b8a892b5b1.m3u8
江西影视旅游,http://61.163.58.195:1718/jiangxi.php?id=jxys
江西公共农业,http://59.55.6.45:4022/rtp/239.252.220.102:5140$江西电信
江西公共农业,http://58.17.48.228:808/hls/21/index.m3
江西公共农业,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv5.m3u8?source=pc&t=172991725554885&token=2bfd0ebb29707fc095f1a39ab229c0d7
江西公共农业,https://stream1.freetv.fun/f10a4227db101c5d0c769fd3ce423bfe52ab60f45a1b490480bfee1bf0f53c55.m3u8
江西公共农业,https://stream1.freetv.fun/387be1cecea96ab25287c35cab991473a8e161bf7f938d97fb86d520b3ed1cbe.ctv
江西公共农业,http://61.163.58.195:1718/jiangxi.php?id=jxgg
江西少儿频道,http://59.55.6.45:4022/rtp/239.252.220.111:5140$江西电信
江西少儿频道,http://58.17.48.228:808/hls/22/index.m3u8
江西少儿频道,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv6.m3u8?source=pc&t=172991729661210&token=17de70ce4d26f17d9dc2a61292cb74d6
江西少儿频道,https://stream1.freetv.fun/a08c10de873bbb32222815debb56d599ad43ef73e1e75b6a2d90eac0a8f58a28.m3u8
江西少儿频道,https://stream1.freetv.fun/60e742487c72a0f4bbb25dfc22eab0624f7e4de401da8c48144d7d23e3c9f4d7.ctv
江西少儿频道,http://61.163.58.195:1718/jiangxi.php?id=jxse
江西新闻频道,http://59.55.6.45:4022/rtp/239.252.220.100:5140$江西电信
江西新闻频道,http://58.17.48.228:808/hls/23/index.m3u8
江西新闻频道,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv7.m3u8?source=pc&t=172991734058414&token=5a92639b853eedefa00c3e45f41bba91
江西新闻频道,https://stream1.freetv.fun/b0562e345f52ecf8c64ede9546f074e2461c6da953847f5a6c61afe3cb4a8f6a.m3u8
江西新闻频道,https://stream1.freetv.fun/c27c910a7d9b9d059171dbbc71c7b05690cc726e8c1a80cf5284ae1a87ad2367.ctv
江西新闻频道,http://61.163.58.195:1718/jiangxi.php?id=jxxw
江西教育频道,http://59.55.6.45:4022/rtp/239.252.219.115:5140$江西电信
江西教育频道,http://58.17.48.228:808/hls/24/index.m3u8
江西教育频道,https://stream1.freetv.fun/b61de3004b73c971031b3046d488451cec3a3007303587ea3b23ce48f9f72913.m3u8
江西教育频道,https://stream1.freetv.fun/5332c3eb6b61dfc6fe26886e3ce2fe3ce47e34f6b9c88799097de98a15c9490f.m3u8
江西教育频道,https://stream1.freetv.fun/8662a824b5518a0b00dcd92190426a71263e02c5c29b751b06260698bc1fdaa2.ctv
江西教育频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxjy
江西移动频道,http://61.163.58.195:1718/jiangxi.php?id=jxyd
